Player_Name,Matches_Played,Kills,Deaths,Assists,Damage_Dealt,Headshots,Wins,Top_10s,Revives,Distance_Traveled,Weapons_Used,Time_Survived,Rank
ShadowWisp,198,517,101,63,12465,172,23,81,43,54497,9,21365,Gold
VenomStrike,223,593,136,84,14275,201,31,105,53,58876,10,24257,Platinum
FireFury,268,702,185,123,16587,231,36,126,60,65487,12,27346,Diamond
BlazingSun,263,692,158,89,16273,207,39,132,63,64402,12,27689,Platinum
ShadowStrike,215,562,96,74,13452,163,30,101,47,56623,10,23184,Gold
SteelGuardian,289,703,175,101,17481,222,37,134,59,68937,11,29673,Diamond
WickedWitch,176,387,78,47,9867,127,21,69,35,49785,9,19876,Silver
RuthlessRaptor,336,826,222,139,20357,278,48,178,76,75894,15,31984,Diamond
FrostyFox,197,501,105,64,11634,149,25,85,43,57401,10,21345,Gold
ViperVenom,221,621,154,86,14598,193,29,102,48,60986,11,24872,Platinum
CrimsonReaper,278,719,185,118,16678,218,36,128,62,68591,13,29145,Platinum
PhantomGhost,185,471,91,55,11876,138,22,74,37,52103,9,20763,Gold
StormStrider,257,654,147,92,15645,201,34,118,54,62891,11,26587,Diamond
StormBreaker,213,577,126,93,14123,204,28,99,50,59674,10,24687,Platinum
SapphireSword,238,621,145,102,15346,219,33,111,55,61598,11,25647,Platinum
ShadowReign,241,662,168,117,16092,232,35,119,59,62987,12,26679,Diamond
DragonSlayer,229,619,141,97,14894,213,31,105,52,60982,11,25567,Platinum
SilverShadow,218,589,132,89,14389,207,30,100,50,59976,10,25046,Platinum
EagleEye,226,604,155,100,15234,216,32,110,56,61875,11,26135,Platinum
BlazingStorm,193,518,109,71,12876,193,25,87,43,55589,10,23259,Gold
MidnightSage,247,681,173,119,16098,224,36,120,58,62974,11,26678,Diamond
RapidBlaze,202,537,122,82,13367,189,28,93,47,57894,9,24256,Platinum
FrostFire,211,548,117,79,13687,197,30,100,49,58976,10,25068,Gold
ScarletWitch,254,679,152,98,15678,214,35,115,56,62893,11,26578,Platinum
RagingTiger,288,731,188,124,16679,230,37,128,61,66678,12,28056,Diamond
SpectralRogue,245,642,148,96,15432,218,34,115,57,61784,11,25967,Platinum
BlazingRaptor,296,786,192,131,17845,246,40,138,66,68876,13,29245,Diamond
EternalShadow,209,579,135,88,14267,203,29,101,51,59987,10,25046,Platinum
WickedStrider,232,619,154,100,14976,213,32,110,53,61587,11,25789,Diamond
FrostFire,191,501,114,73,12678,184,26,88,44,56489,10,23746,Gold
CrimsonStorm,226,638,159,105,15694,223,34,117,57,61987,11,26345,Platinum
RuthlessReaper,198,512,103,68,12987,186,24,84,42,54278,10,22678,Gold
VenomousViper,246,674,163,107,16056,219,35,120,58,62894,11,26746,Platinum
FrostFury,216,553,129,81,13587,191,29,99,49,59987,10,25056,Platinum
ShadowBlade,267,702,178,116,16687,227,36,125,62,65789,12,27546,Diamond
RapidPhantom,285,729,185,127,17568,238,38,130,65,67689,13,28456,Diamond
ViperStrike,202,533,110,72,13157,189,28,96,47,55478,10,23156,Platinum
EternalBlaze,226,622,140,96,14986,215,33,109,54,61187,11,25789,Platinum
Vengeance,213,568,124,95,13967,201,28,101,52,59487,10,24567,Platinum
LunarShadow,239,621,144,98,15234,219,34,112,56,61694,11,25568,Platinum
Deathstrike,242,662,167,112,15987,231,35,119,60,62876,12,26658,Diamond
AzureBlade,227,612,138,92,14789,210,31,107,54,60589,11,25257,Platinum
RavenHeart,219,583,130,87,14256,203,29,98,50,59876,10,24868,Platinum
SerpentFury,223,594,152,102,15378,220,32,109,55,61879,11,25946,Platinum
CrimsonRogue,195,519,107,69,12789,191,26,86,44,55894,10,23256,Gold
VoidSeeker,248,671,171,114,15978,225,36,120,59,62987,12,26689,Diamond
AstralSword,203,536,123,83,13247,194,28,92,48,57856,10,24157,Platinum
FrozenFlame,212,543,116,78,13678,196,30,100,49,59278,10,24967,Gold
TwilightWarden,253,661,150,97,15589,212,34,116,56,61975,11,25678,Platinum
ShadowPhoenix,287,723,185,128,16689,229,37,127,61,66698,12,27956,Diamond
PhantomStrider,286,732,183,130,17345,234,38,130,65,67587,13,28367,Diamond
VengefulViper,203,534,112,75,13078,188,29,95,48,56298,10,23689,Gold
EternalFire,213,578,131,88,14257,202,30,102,53,59987,10,25079,Platinum
NebulaBlade,238,632,154,100,15378,214,34,115,57,61187,11,25876,Platinum
SilverHawk,194,526,106,68,12987,193,27,87,43,55698,10,23456,Gold
SolarSword,248,662,167,114,15867,226,35,120,59,62378,11,26389,Diamond
EclipseShadow,205,547,124,84,13589,197,29,98,50,58987,10,24657,Platinum
StarBlade,214,562,119,80,13876,200,30,100,51,59968,10,25057,Gold
LethalWraith,252,667,153,99,15678,213,33,114,58,61789,11,25978,Platinum
RadiantBlaze,288,727,183,129,16878,230,37,126,62,66789,12,27856,Diamond
FrostGuardian,283,724,182,128,17256,236,37,128,64,67578,13,28246,Diamond
MysticSerpent,207,539,111,76,13278,190,29,95,48,56478,10,23879,Gold
InfernoStorm,211,548,121,82,13789,198,30,99,50,57876,10,24467,Platinum
BlazeRanger,225,603,139,93,14678,207,31,106,52,60967,11,25479,Platinum
RagingFire,239,625,142,97,15123,218,33,110,55,61976,11,25578,Platinum
ShadowDancer,242,662,165,110,15789,225,35,118,59,62867,12,26589,Diamond
PhoenixWings,226,617,136,89,14456,201,30,105,53,60487,11,25267,Platinum
IceStorm,218,589,127,83,13987,205,29,98,50,59967,10,24878,Platinum
MoonlitSorcerer,221,598,150,99,15087,213,32,108,54,61489,11,25979,Platinum
DarkReaper,197,511,104,68,12689,190,26,85,43,55576,10,23467,Gold
CosmicGhost,239,655,170,112,15567,221,34,115,56,62367,11,26078,Platinum
StormRider,206,542,124,81,13345,194,29,97,49,58678,10,24789,Platinum
FlareRogue,215,561,118,79,13678,197,30,100,50,59789,10,25168,Gold
RadiantBlade,263,692,174,116,16456,226,35,120,58,63345,12,26789,Diamond
TempestPhantom,295,728,184,126,17134,238,38,130,65,67234,13,28067,Diamond
SapphireViper,210,549,113,74,13489,189,29,96,48,56789,10,24067,Gold
EternalFlame,223,591,130,85,14234,199,30,103,52,60178,11,25356,Platinum
StarlightBlade,248,652,157,103,15578,217,33,110,54,61287,11,25778,Platinum
LunarShadow,267,697,173,120,16245,231,36,125,62,64876,12,27456,Diamond
CrimsonRider,294,743,187,132,17567,242,39,133,67,66987,13,28345,Diamond
BlazingSorcerer,203,521,109,72,13123,193,27,91,45,55487,10,23267,Gold
FrozenFlare,206,553,117,76,13756,196,29,96,49,58789,10,24579,Platinum
AbyssGuardian,220,597,144,98,14967,212,32,108,54,60978,11,25679,Platinum
SpectralPhantom,225,624,149,100,15345,219,33,110,55,61789,11,25967,Platinum
